lakeid,sta,sampledate,sampletime,sampledepth,light,wtemp,o2sat,do,ph,secchi_up,secchi_dn,barom_pres,comments,
myv,33,2013-07-20,10:33,1.00,350.0,13.6,95.70,9.96,,2.40,2.51,739.8,,
myv,33,2013-07-20,10:33,1.50,250.0,13.5,95.90,9.99,,2.40,2.51,739.8,,
myv,33,2013-07-20,10:33,2.00,170.0,13.5,95.90,9.99,,2.40,2.51,739.8,,
myv,33,2013-07-20,10:33,2.50,140.0,13.5,96.10,10.02,,2.40,2.51,739.8,,
myv,33,2013-07-20,10:33,3.00,120.0,13.4,96.10,10.04,,2.40,2.51,739.8,,
myv,33,2013-07-27,10:25,0.00,960.0,17.9,106.90,10.15,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,0.50,680.0,17.7,107.30,10.22,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,1.00,520.0,17.5,104.00,9.95,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,1.50,370.0,17.4,104.60,10.02,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,2.00,265.0,17.3,104.90,10.11,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,2.50,200.0,17.2,103.40,9.94,,1.60,1.70,729.50,,
myv,33,2013-07-27,10:25,3.00,156.0,17.2,103.20,9.94,,1.60,1.70,729.50,,
myv,33,2013-08-06,07:01,0.00,110.0,8.2,94.30,11.09,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,0.50,72.0,8.3,93.80,11.04,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,1.00,68.0,8.4,93.60,10.98,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,1.50,52.0,8.4,93.40,10.96,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,2.00,43.0,8.4,93.20,10.94,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,2.50,34.0,8.4,93.10,10.91,,1.50,1.60,736.60,,
myv,33,2013-08-06,07:01,3.00,21.0,8.4,92.80,10.89,,1.50,1.60,736.60,,
myv,33,2013-08-11,09:46,0.00,52.0,10.7,97.30,10.81,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,0.50,45.0,10.8,97.20,10.77,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,1.00,32.0,10.8,97.10,10.76,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,1.50,26.0,10.8,97.00,10.75,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,2.00,22.0,10.8,96.90,10.74,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,2.50,18.0,10.8,96.90,10.73,,1.40,1.50,731.20,,
myv,33,2013-08-11,09:46,3.00,15.0,10.8,96.40,10.68,,1.40,1.50,731.20,,
myv,33,2013-08-17,10:56,0.00,230.0,11.1,93.80,10.26,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,0.50,150.0,11.3,92.90,10.17,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,1.00,140.0,11.3,92.50,10.13,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,1.50,118.0,11.3,92.30,10.11,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,2.00,100.0,11.3,92.10,10.09,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,2.50,90.0,11.3,92.00,10.08,,1.93,1.96,NA,,
myv,33,2013-08-17,10:56,3.00,75.0,11.3,91.90,10.07,,1.93,1.96,NA,,
myv,33,2014-06-02,13:30,0.00,410.0,13.1,108.80,11.44,8.89,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,0.50,200.0,13.0,108.80,11.47,8.91,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,1.00,196.0,13.0,108.90,11.47,8.91,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,1.50,190.0,13.0,108.90,11.48,8.92,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,2.00,160.0,13.0,108.90,11.48,8.92,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,2.50,129.0,12.9,108.90,11.50,8.93,1.60,2.30,730.10,,
myv,33,2014-06-02,13:30,3.00,118.0,13.0,109.40,11.52,8.95,1.60,2.30,730.10,,
myv,33,2014-06-09,10:50,0.00,600.0,15.3,118.50,11.88,9.29,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,0.50,500.0,15.3,118.50,11.87,9.32,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,1.00,430.0,15.2,118.20,11.90,9.36,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,1.50,350.0,15.0,120.50,12.16,9.40,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,2.00,300.0,14.9,121.00,12.23,9.43,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,2.50,240.0,14.9,123.00,12.42,9.44,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-09,10:50,3.00,250.0,14.9,122.80,12.42,9.46,3.15,3.20,733.60,pH taken on Jun10,
myv,33,2014-06-18,12:30,0.00,287.0,16.1,106.90,10.53,9.23,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,0.50,159.0,16.1,107.70,10.60,9.34,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,1.00,155.0,16.1,104.80,10.30,9.40,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,1.50,127.0,16.1,103.50,10.19,9.42,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,2.00,114.0,16.1,103.40,10.19,9.43,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,2.50,111.0,16.1,103.50,10.19,9.44,3.30,3.30,741.70,,
myv,33,2014-06-18,12:30,3.00,83.0,16.1,103.80,10.22,9.43,3.30,3.30,741.70,,
myv,33,2014-06-27,11:20,0.00,930.0,16.8,109.00,10.70,9.54,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,0.50,740.0,16.2,105.20,10.33,9.53,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,1.00,590.0,16.0,105.00,10.40,9.51,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,1.50,550.0,15.8,105.80,10.49,9.52,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,2.00,415.0,15.7,106.40,10.57,9.55,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,2.50,350.0,15.7,106.50,10.58,9.55,3.22,3.22,738.20,,
myv,33,2014-06-27,11:20,3.00,315.0,15.7,106.40,10.57,9.54,3.22,3.22,738.20,,
myv,33,2014-07-06,10:05,0.00,75.2,9.9,93.00,10.50,10.01,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,0.50,50.0,9.9,89.00,10.17,9.81,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,1.00,32.9,9.8,88.80,10.07,9.76,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,1.50,20.4,9.8,88.60,10.04,9.63,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,2.00,15.3,9.8,88.40,10.01,9.60,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,2.50,9.8,9.8,88.30,10.01,9.55,1.05,1.05,726.20,,
myv,33,2014-07-06,10:05,3.00,5.8,9.8,88.20,10.01,9.50,1.05,1.05,726.20,,
myv,33,2014-07-17,11:01,0.00,1420.0,14.6,103.10,10.50,9.54,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,0.50,1000.0,14.4,103.30,10.55,9.51,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,1.00,690.0,14.4,103.00,10.52,9.47,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,1.50,515.0,14.4,103.10,10.50,9.46,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,2.00,405.0,14.4,103.30,10.58,9.44,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,2.50,282.0,14.3,103.60,10.61,9.43,2.30,2.35,733.80,,
myv,33,2014-07-17,11:01,3.00,219.0,14.3,103.90,10.64,9.42,2.30,2.35,733.80,,
myv,33,2014-08-01,10:00,0.00,352.2,12.4,103.50,11.03,9.80,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,0.50,141.9,12.7,104.20,11.05,9.78,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,1.00,63.4,12.6,104.00,11.07,9.76,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,1.50,23.1,12.5,101.10,10.80,9.72,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,2.00,10.1,12.4,100.50,10.77,9.71,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,2.50,4.6,12.3,98.60,10.57,9.69,0.79,0.82,736.50,,
myv,33,2014-08-01,10:00,3.00,2.4,12.3,95.50,10.23,9.67,0.79,0.82,736.50,,
myv,33,2014-08-09,14:50,0.00,425.0,13.5,128.10,13.40,9.84,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,0.50,45.0,13.0,125.90,13.29,9.83,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,1.00,16.0,12.0,98.30,10.62,9.80,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,1.50,12.0,11.8,93.00,10.08,9.76,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,2.00,8.0,11.7,87.40,9.51,9.74,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,2.50,5.0,11.4,86.70,9.58,9.73,0.32,0.35,730.70,,
myv,33,2014-08-09,14:50,3.00,4.0,10.4,86.00,9.50,9.68,0.32,0.35,730.70,,
myv,33,2014-08-19,7:30,0.00,114.0,8.8,103.20,11.96,10.12,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,0.50,13.0,9.1,103.00,11.92,9.95,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,1.00,2.7,9.2,101.90,11.71,9.87,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,1.50,0.5,9.3,101.90,11.70,9.83,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,2.00,0.1,9.3,101.80,11.69,9.79,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,2.50,0.0,9.3,101.70,11.66,9.75,0.41,0.48,738.30,,
myv,33,2014-08-19,7:30,3.00,0.0,9.3,100.70,11.56,9.73,0.41,0.48,738.30,,
myv,33,2015-05-17,14:30,0.00,1200.0,3.9,97.00,12.75,8.78,0.85,1.10,,"St 33 not established, used 0407813, 7276136",
myv,33,2015-05-17,14:30,0.50,700.0,3.9,97.10,12.79,8.79,0.85,1.10,,Arni had a secchi of 1.2,
myv,33,2015-05-17,14:30,1.00,530.0,3.8,97.10,12.79,8.76,0.85,1.10,,,
myv,33,2015-05-17,14:30,1.50,370.0,3.8,97.10,12.79,8.73,0.85,1.10,,,
myv,33,2015-05-17,14:30,2.00,240.0,3.8,97.00,12.82,8.70,0.85,1.10,,,
myv,33,2015-05-17,14:30,2.50,200.0,3.8,97.10,12.79,8.69,0.85,1.10,,,
myv,33,2015-05-17,14:30,3.00,170.0,3.7,97.10,12.83,8.58,0.85,1.10,,,
myv,33,2015-05-29,11:00,0.00,430.0,7.1,96.60,11.58,9.55,1.333333333,1.816666667,731.00,"secchi depth averaged between Joe, Tony, and Caroline's measurements",
myv,33,2015-05-29,11:00,0.50,320.0,7.3,95.50,11.50,9.33,1.333333333,1.816666667,731.00,,
myv,33,2015-05-29,11:00,1.00,242.0,7.3,95.20,11.47,9.21,1.333333333,1.816666667,731.00,,
myv,33,2015-05-29,11:00,1.50,181.0,7.3,95.00,11.44,9.15,1.333333333,1.816666667,731.00,,
myv,33,2015-05-29,11:00,2.00,139.0,7.3,94.90,11.43,9.09,1.333333333,1.816666667,731.00,,
myv,33,2015-05-29,11:00,2.50,108.0,7.3,94.80,11.42,9.00,1.333333333,1.816666667,731.00,,
myv,33,2015-05-29,11:00,3.00,92.0,7.3,94.80,11.42,8.97,1.333333333,1.816666667,731.00,,
myv,33,2015-06-04,12:45,0.00,610.0,6.3,101.10,12.53,9.53,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,0.50,285.0,6.2,101.20,12.53,9.35,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,1.00,270.0,6.1,101.10,12.54,9.31,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,1.50,242.0,6.0,101.00,12.63,9.30,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,2.00,226.0,5.8,101.70,12.74,9.28,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,2.50,216.0,5.8,101.90,12.76,9.24,210.00,220.00,738.10,,
myv,33,2015-06-04,12:45,3.00,191.0,5.8,102.10,12.79,9.23,210.00,220.00,738.10,,
myv,33,2015-06-11,11:25,0.00,635.0,7.9,97.10,11.47,9.16,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,0.50,360.0,8.0,96.10,11.38,9.13,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,1.00,210.0,8.0,96.00,11.38,9.11,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,1.50,119.0,8.0,96.10,11.38,9.10,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,2.00,68.0,8.0,96.10,11.38,9.08,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,2.50,41.0,8.0,96.10,11.37,9.06,55.00,70.00,734.90,,
myv,33,2015-06-11,11:25,3.00,27.0,8.0,95.90,11.36,9.06,55.00,70.00,734.90,,
myv,33,2015-06-18,12:35,0.00,403.0,10.7,108.60,12.00,9.33,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,0.50,226.0,10.7,109.00,12.11,9.30,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,1.00,181.0,10.6,109.00,12.14,9.29,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,1.50,154.0,10.6,109.10,12.14,9.27,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,2.00,137.0,10.6,109.20,12.15,9.27,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,2.50,126.0,10.5,109.80,12.24,9.26,140.00,160.00,731.40,,
myv,33,2015-06-18,12:35,3.00,98.0,10.5,110.70,12.35,9.25,140.00,160.00,731.40,,
myv,33,2015-06-25,11:15,0.00,1476.2,15.5,118.00,11.80,9.46,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,0.50,1000.6,14.4,118.30,12.08,9.48,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,1.00,717.6,14.2,118.40,12.14,9.49,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,1.50,521.3,14.0,118.50,12.20,9.50,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,2.00,365.1,13.8,120.00,12.42,9.53,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,2.50,233.6,13.7,120.50,12.50,9.52,44.00,96.00,738.30,,
myv,33,2015-06-25,11:15,3.00,178.8,13.6,121.50,12.63,9.53,44.00,96.00,738.30,,
myv,33,2015-07-02,10:19,0.00,123.1,10.4,102.70,11.45,9.87,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,0.50,77.4,10.5,102.50,11.43,9.75,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,1.00,51.3,10.5,102.40,11.42,9.70,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,1.50,31.0,10.5,102.30,11.41,9.65,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,2.00,21.0,10.5,102.00,11.38,9.64,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,2.50,12.7,10.5,101.70,11.35,9.63,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-02,10:19,3.00,9.2,10.4,100.80,11.19,9.64,100.00,132.00,NA,barometric pressure not recorded,
myv,33,2015-07-11,10:55,0.00,250.0,9.5,105.3,12.00,10.58,50.00,85.00,730.50,anabaena bloom,
myv,33,2015-07-11,10:55,0.50,110.0,9.8,106.1,12.04,10.25,50.00,85.00,730.50,,
myv,33,2015-07-11,10:55,1.00,42.0,9.8,106.2,12.05,10.10,50.00,85.00,730.50,,
myv,33,2015-07-11,10:55,1.50,18.0,9.8,106.4,12.07,10.04,50.00,85.00,730.50,,
myv,33,2015-07-11,10:55,2.00,9.0,9.8,106.4,12.06,10.01,50.00,85.00,730.50,,
myv,33,2015-07-11,10:55,2.50,5.0,9.8,106.3,12.07,9.97,50.00,85.00,730.50,,
myv,33,2015-07-11,10:55,3.00,2.7,9.8,106.4,12.07,9.96,50.00,85.00,730.50,,
myv,33,2015-07-20,7:50,0.00,89.1,8.3,97.00,11.43,9.85,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,0.50,19.0,8.2,96.50,11.37,9.77,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,1.00,4.6,8.2,94.30,11.12,9.74,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,1.50,1.1,8.1,93.80,11.08,9.75,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,2.00,0.3,8.1,93.40,11.03,9.73,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,2.50,0.1,8.1,92.00,10.87,9.72,29.00,43.00,730.00,,
myv,33,2015-07-20,7:50,3.00,0.0,8.1,91.60,10.82,9.72,29.00,43.00,730.00,,
myv,33,2015-07-29,12:10,0.00,1140.0,11.7,129.50,14.11,NA,33.00,53.00,735.80,pH meter not working,
myv,33,2015-07-29,12:10,0.50,180.8,11.5,127.90,13.99,NA,33.00,53.00,735.80,,
myv,33,2015-07-29,12:10,1.00,76.2,11.3,125.00,13.63,NA,33.00,53.00,735.80,,
myv,33,2015-07-29,12:10,1.50,42.4,10.5,118.00,13.19,NA,33.00,53.00,735.80,,
myv,33,2015-07-29,12:10,2.00,26.7,10.2,112.30,12.60,NA,33.00,53.00,735.80,,
myv,33,2015-07-29,12:10,2.50,16.0,10.1,111.80,12.58,NA,33.00,53.00,735.80,,
myv,33,2015-07-29,12:10,3.00,11.1,10.1,111.40,12.55,NA,33.00,53.00,735.80,,
myv,33,2015-08-07,11:33,0.00,216.4,10.6,97.80,11.05,9.83,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,0.50,77.8,10.1,99.20,11.17,9.77,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,1.00,22.5,10.1,99.00,11.15,9.72,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,1.50,8.9,10.1,98.90,11.14,9.72,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,2.00,3.1,10.1,99.30,11.19,9.70,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,2.50,1.1,10.1,99.10,11.16,9.67,102.00,107.00,726.80,,
myv,33,2015-08-07,11:33,3.00,0.5,10.1,99.00,11.15,9.67,102.00,107.00,726.80,,
myv,5,2016-05-31,10:43,0.00,900.0,NA,NA,NA,NA,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,0.50,600.0,11.3,114.40,12.57,9.01,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,1.00,450.0,11.2,114.60,12.62,9.01,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,1.50,420.0,11.1,115.50,12.68,8.98,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,2.00,320.0,11.0,116.80,12.89,8.99,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,2.50,NA,10.9,118.50,13.60,9.01,225.00,227.00,748.20,,
myv,5,2016-05-31,10:43,3.00,NA,NA,NA,NA,NA,225.00,227.00,748.20,,
myv,6,2016-05-31,9:38,0.00,1000.0,NA,NA,NA,NA,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,0.50,700.0,11.0,107.90,11.91,8.90,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,1.00,650.0,10.9,107.70,11.91,8.89,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,1.50,500.0,10.7,107.70,11.97,8.93,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,2.00,520.0,10.6,108.70,12.10,8.92,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,2.50,420.0,10.5,109.10,12.18,8.91,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,6,2016-05-31,9:38,3.00,NA,NA,NA,NA,NA,INF,INF,748.20,"Hit the bottom at 270.50 cm, but secchi was still visible. (INF=infinity)",
myv,2,2016-05-30,11:04,0.00,NA,NA,NA,NA,NA,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,0.50,420.0,9.4,107.50,12.31,8.90,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,1.00,280.0,9.2,106.20,12.21,8.92,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,1.50,220.0,9.1,105.40,12.15,8.92,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,2.00,177.0,9.0,105.00,12.17,8.93,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,2.50,129.0,NA,NA,NA,NA,125.00,135.00,745.20,,
myv,2,2016-05-30,11:04,3.00,NA,NA,NA,NA,NA,125.00,135.00,745.20,,
myv,1,2016-05-29,14:28,0.00,1300.0,NA,NA,NA,NA,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,0.50,950.0,9.7,109.30,12.40,9.09,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,1.00,710.0,9.6,108.90,12.43,9.06,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,1.50,485.0,9.4,108.90,12.45,9.05,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,2.00,365.0,9.3,114.70,13.28,9.03,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,2.50,NA,NA,NA,NA,NA,104.00,120.00,736.90,,
myv,1,2016-05-29,14:28,3.00,NA,NA,NA,NA,NA,104.00,120.00,736.90,,
myv,33,2016-05-29,12:15,0.00,1160.0,9.1,104.40,12.09,9.27,110.00,120.00,736.90,,
myv,33,2016-05-29,12:15,0.50,890.0,8.5,104.00,12.20,9.01,110.00,120.00,736.90,,
myv,33,2016-05-29,12:15,1.00,620.0,8.2,103.80,12.26,8.92,110.00,120.00,736.90,,
myv,33,2016-05-29,12:15,1.50,400.0,8.0,103.50,12.26,8.85,110.00,120.00,736.90,,
myv,33,2016-05-29,12:15,2.00,220.0,8.0,106.10,12.57,8.74,110.00,120.00,736.90,,
myv,33,2016-05-29,12:15,2.50,180.0,8.0,106.00,12.56,8.68,110.00,120.00,736.90,,
